lsoacode,population_21
E01000171,2259
E01000172,1685
E01000173,1646
E01000174,1760
E01000175,2028
E01000176,1723
E01000177,1654
E01000178,1640
E01000179,1767
E01000180,1638
E01000181,1710
E01000182,1621
E01000183,1524
E01000184,1881
E01000185,1457
E01000186,1803
E01000187,1762
E01000188,1572
E01000189,2439
E01000190,1761
E01000191,1555
E01000192,2006
E01000193,1935
E01000194,1891
E01000195,2004
E01000196,2145
E01000197,1828
E01000198,2172
E01000199,1611
E01000200,2008
E01000201,1538
E01000202,1689
E01000203,1841
E01000204,1715
E01000205,1506
E01000206,1487
E01000207,1607
E01000208,1639
E01000209,1516
E01000210,1545
E01000211,2122
E01000212,1372
E01000213,1397
E01000214,1625
E01000215,2169
E01000216,1969
E01000217,1797
E01000218,1830
E01000219,2188
E01000220,1885
E01000221,1392
E01000222,2003
E01000223,2037
E01000224,1706
E01000225,1858
E01000226,1750
E01000227,1908
E01000228,1461
E01000229,1650
E01000230,1982
E01000231,1777
E01000232,1866
E01000233,1922
E01000234,1786
E01000235,1828
E01000236,1936
E01000237,2101
E01000238,2073
E01000239,2049
E01000240,1746
E01000241,1806
E01000242,1637
E01000243,2152
E01000244,1639
E01000245,2065
E01000246,1556
E01000247,1682
E01000248,1713
E01000249,1640
E01000250,2611
E01000251,2259
E01000252,1733
E01000253,1981
E01000254,1617
E01000255,1687
E01000256,1931
E01000257,2074
E01000258,1886
E01000259,2668
E01000260,2137
E01000261,1763
E01000263,1559
E01000264,1819
E01000265,1918
E01000266,1459
E01000267,1572
E01000268,2063
E01000269,1380
E01000270,1540
E01000271,1641
E01000272,1400
E01000273,1681
E01000274,1943
E01000275,1764
E01000276,1489
E01000277,1678
E01000278,1471
E01000279,1404
E01000280,1360
E01000281,1793
E01000282,1794
E01000283,1362
E01000284,1835
E01000285,1535
E01000286,1726
E01000287,1667
E01000288,1542
E01000289,1588
E01000290,1603
E01000291,1568
E01000292,1559
E01000293,1758
E01000294,1791
E01000295,1618
E01000296,1777
E01000297,1424
E01000298,1726
E01000299,2193
E01000300,1664
E01000301,1485
E01000302,1784
E01000303,1511
E01000304,1555
E01000305,1635
E01000306,2011
E01000307,1645
E01000308,2108
E01000309,2062
E01000310,2194
E01000311,1752
E01000312,1802
E01000313,1896
E01000314,2170
E01000315,1714
E01000316,2280
E01000317,1622
E01000318,1916
E01000319,1377
E01000320,1935
E01000321,1949
E01000322,1855
E01000323,2386
E01000324,1795
E01033911,1887
E01033912,1692
E01033913,1525
E01033914,1791
E01033915,1427
E01033916,1767
E01033917,1467
E01033918,1548
E01033919,1291
E01033920,1492
E01033921,1604
E01033922,1657
E01033923,1528
E01033924,1554
E01033925,1733
E01000325,1677
E01000326,1409
E01000327,1609
E01000328,1649
E01000329,1689
E01000330,1644
E01000331,1710
E01000332,1561
E01000333,1901
E01000334,1690
E01000335,2741
E01000336,1998
E01000337,1706
E01000338,1853
E01000339,1615
E01000340,1578
E01000341,1536
E01000342,1517
E01000343,1506
E01000344,1623
E01000345,1324
E01000346,1571
E01000347,1520
E01000348,1469
E01000349,1727
E01000350,1516
E01000351,1608
E01000352,1653
E01000353,1655
E01000354,1481
E01000355,1460
E01000356,1564
E01000357,1392
E01000358,1674
E01000359,1298
E01000360,1902
E01000361,1611
E01000362,1904
E01000363,1585
E01000364,1699
E01000365,1736
E01000366,1667
E01000367,2303
E01000368,1700
E01000369,1725
E01000370,1574
E01000371,1632
E01000372,1705
E01000373,1332
E01000374,1558
E01000375,2118
E01000376,1606
E01000377,1461
E01000379,1714
E01000380,1744
E01000381,1623
E01000382,1620
E01000383,1602
E01000384,1729
E01000385,2008
E01000386,1510
E01000387,1564
E01000388,1514
E01000389,1700
E01000390,1344
E01000391,1752
E01000392,1969
E01000393,1660
E01000394,1629
E01000395,1553
E01000396,1447
E01000398,1604
E01000399,1564
E01000400,1567
E01000401,1822
E01000402,1598
E01000403,2382
E01000404,2406
E01000405,1550
E01000406,2151
E01000407,1862
E01000408,1766
E01000409,1767
E01000410,1705
E01000411,1495
E01000412,1741
E01000413,1386
E01000414,1881
E01000415,1455
E01000416,1595
E01000417,1724
E01000418,1934
E01000419,1508
E01000420,1490
E01000421,1560
E01000422,1299
E01000423,1647
E01000424,1704
E01000425,1794
E01000426,1664
E01000427,2000
E01000428,1893
E01000429,1678
E01000430,2078
E01000431,1201
E01000433,1910
E01000434,1601
E01000435,1504
E01000436,1743
E01000437,1354
E01000438,1715
E01000439,1431
E01000440,1366
E01000441,1805
E01000442,1723
E01000443,1320
E01000444,1620
E01000445,1668
E01000446,1524
E01000447,1954
E01000448,1352
E01000449,1598
E01000450,1783
E01000451,1767
E01000452,1410
E01000453,1490
E01000454,1631
E01000455,1778
E01000456,1385
E01000457,2172
E01000458,1546
E01000459,1859
E01000460,1258
E01000461,1677
E01000462,2092
E01000463,1232
E01000464,1509
E01000465,1694
E01000466,1705
E01000467,1686
E01000468,2941
E01000469,1725
E01000470,1284
E01032566,1888
E01033789,1734
E01033790,1325
E01033791,1386
E01033792,1397
E01000471,1726
E01000472,2402
E01000473,2678
E01000474,2288
E01000475,2115
E01000476,2174
E01000477,2318
E01000478,2500
E01000479,1750
E01000480,1672
E01000481,1630
E01000483,1840
E01000484,1786
E01000485,1611
E01000486,1687
E01000487,1976
E01000488,1650
E01000489,1723
E01000490,1755
E01000491,2050
E01000492,1296
E01000493,1593
E01000494,1751
E01000495,1582
E01000497,2065
E01000498,1674
E01000499,1879
E01000501,2021
E01000502,1855
E01000503,2112
E01000504,1791
E01000505,1673
E01000506,1633
E01000507,1623
E01000508,2658
E01000509,1447
E01000510,1700
E01000511,1782
E01000512,1716
E01000513,1702
E01000514,1538
E01000515,1871
E01000516,2300
E01000517,1608
E01000518,1924
E01000519,1956
E01000520,1667
E01000521,2291
E01000522,2065
E01000523,2296
E01000524,2384
E01000525,1877
E01000526,2190
E01000527,1875
E01000528,1709
E01000530,1804
E01000531,1804
E01000532,1547
E01000533,2164
E01000534,1750
E01000535,2044
E01000536,1558
E01000538,1627
E01000539,1624
E01000540,1477
E01000541,1430
E01000543,1629
E01000544,1752
E01000545,1914
E01000546,1620
E01000547,1660
E01000548,1934
E01000549,1783
E01000550,2025
E01000551,2895
E01000552,1501
E01000553,2038
E01000554,1999
E01000555,1631
E01000556,2064
E01000557,1847
E01000558,1366
E01000559,1377
E01000560,1552
E01000561,1921
E01000562,1503
E01000563,1596
E01000564,1639
E01000565,1558
E01000566,1576
